ACTUAL TIME (ms),TIME INTERVAL (ms),Accel X,Accel Y,label
11213,5,0.5617981,4.5023956,0
4088,9,-0.4348755,4.7779846,0
7503,10,0.88323975,4.57605,0
2177,4,-1.231308,5.139908,0
3552,4,-0.3112793,4.881134,0
731,12,-3.4361877,4.6574554,0
6887,7,0.45030212,4.91243,0
3197,7,-0.45986938,4.7895355,0
,100,-0.5,4,1
2831,9,-0.55804443,4.6825867,0
,138,-0.6,-0.2,1
11237,1,0.6047516,4.510208,0
8481,4,-0.18955994,4.590378,0
1753,0,-1.2345581,5.373001,0
8617,0,0.66578674,4.3809204,0
3701,9,-0.39239502,4.784027,0
7632,3,0.5189972,3.1579742,0
9138,8,0.30665588,4.396805,0
10603,4,0.40971375,4.577347,0
1103,0,-1.6986847,3.4773102,0
5591,4,0.31588745,4.8139343,0
5298,4,-0.11351013,4.9036713,0
4939,0,-0.14479065,4.8848114,0
3876,8,-0.40104675,4.727707,0
5704,7,0.12962341,4.774933,0
5900,4,0.18191528,4.8714447,0
591,4,-3.5359955,3.8647614,0
9095,0,0.37046814,4.329422,0
9458,2,0.5035248,4.4835815,0
2517,7,-0.7550812,4.9745636,0
4389,5,0.20536804,5.1764526,0
4103,8,-0.383255,4.8118744,0
11665,4,0.5268402,4.4095306,0
854,0,-3.2259216,3.5849762,0
4529,5,0.12818909,5.2295685,0
7364,4,0.46340942,4.657135,0
27,4,-3.6641693,1.8493958,0
12497,7,0.5797577,4.3665466,0
1205,0,-0.8341217,4.5308533,0
2592,4,-0.40220642,5.111374,0
1816,9,-1.7578278,5.281189,0
11337,4,0.43148804,4.362671,0
6524,8,0.29766846,4.8648376,0
8925,1,0.38206482,4.4168243,0
11489,7,0.62986755,4.510208,0
9227,3,0.4143982,4.3921814,0
6926,4,0.20895386,4.6610413,0
8181,4,0.7117157,4.3443146,0
,8,-5.8,2.6,1
5501,4,0.3390503,5.1063538,0
4079,4,-0.41429138,4.7472687,0
11076,3,0.3605194,4.309082,0
2298,3,-1.2978516,5.1159363,0
,120,0,1.5,1
9110,4,0.42112732,4.382599,0
,292,-0.2,-0.2,1
11088,9,0.42248535,4.316269,0
2315,5,-1.2361298,5.135086,0
6842,5,0.3425598,4.838028,0
5739,8,0.4006958,5.0228577,0
,130,-0.2,1,1
8507,10,-0.90605164,3.9995575,0
2502,9,-0.6205597,5.0472107,0
3670,4,-0.36109924,4.809784,0
4513,4,0.15467834,5.233368,0
,208,-0.2,-0.2,1
8430,4,-0.14024353,4.6903076,0
2328,11,-1.2180634,5.158203,0
6655,6,0.41081238,4.96846,0
1031,0,-1.289444,4.152405,0
,160,0.2,0.2,1
7055,2,0.44906616,4.7125397,0
2650,5,-0.33758545,5.076889,0
3569,3,-0.36094666,4.8874207,0
10570,7,0.58677673,4.75441,0
234,8,-3.381897,1.9288177,0
4392,3,0.17204285,5.1578674,0
10517,4,0.7405243,4.7674255,0
5810,8,0.62368774,5.202759,0
1930,51,-1.491684,5.0609283,0
,226,-0.2,-0.2,1
7177,4,0.27792358,4.6538544,0
6052,8,0.56477356,5.105896,0
1234,0,-0.66145325,4.603897,0
8220,4,0.76353455,4.520172,0
8936,9,0.33200073,4.4501038,0
5830,5,0.62054443,5.2500153,0
2262,7,-1.2932281,5.167923,0
10329,4,0.6626282,4.7184906,0
6106,7,0.32254028,4.864975,0
1977,43,-1.2475739,5.2489777,0
5825,8,0.62268066,5.2428284,0
10923,4,0.32569885,4.2300873,0
4435,9,0.12548828,5.095978,0
948,0,-2.7204742,3.3843842,0
7864,7,0.85868835,3.4733582,0
3720,7,-0.3451538,4.8288116,0
7840,2,0.87924194,3.4944305,0
12099,7,0.614151,4.5075073,0
8409,6,0.4520874,4.214813,0
8617,0,0.57980347,4.3830414,0
58,7,-3.4578552,2.2806091,0
9349,4,0.35406494,4.402466,0
119,6,-4.5158386,1.4586029,0
3173,3,-0.37028503,4.849121,0
2798,7,-0.5632782,4.6897736,0
12,4,-3.4891052,1.9426117,0
5985,8,0.2707367,4.751236,0
8956,6,0.378479,4.3692627,0
2978,3,-0.50057983,4.744568,0
9958,4,0.7542877,4.684906,0
10306,8,0.8099365,4.7576294,0
11134,4,0.4135437,4.3947144,0
11497,3,0.612854,4.515854,0
7036,4,0.3330841,4.711319,0
7301,11,-0.32870483,4.573105,0
7961,1,0.73851013,3.255951,0
2045,0,-1.66362,4.912979,0
6252,4,0.2593689,4.911255,0
5048,4,0.32470703,5.109833,0
1446,3,-0.7965393,5.3995514,0
3466,4,-0.3887787,4.862152,0
3638,3,-0.3138275,4.851776,0
9833,7,0.6729584,4.6336517,0
948,28,-2.7377472,3.30307,0
5575,4,0.37236023,4.8499146,0
11180,3,0.46063232,4.3728485,0
8950,4,0.36465454,4.3878174,0
2959,4,-0.4401245,4.8046875,0
10896,8,0.30014038,4.314911,0
12440,5,0.5496826,4.5078735,0
1753,0,-1.5713654,5.34552,0
5454,4,0.16047668,5.0417175,0
5516,3,0.24261475,5.0693665,0
12134,8,0.5523224,4.498764,0
8900,0,0.42112732,4.448242,0
12431,7,0.536499,4.4886475,0
7488,7,0.8266754,4.6380005,0
,282,-0.2,-0.2,1
6220,4,0.3497467,4.9388123,0
4962,1,0.084487915,4.933304,0
5115,8,0.1903534,5.132004,0
,0,0,0,1
78,7,-3.2397919,2.9328156,0
12360,8,0.457489,4.389694,0
5044,8,0.3456726,5.100525,0
5724,8,0.26594543,4.8453827,0
